transaction_amount,time_since_last_transaction,merchant_category,account_age,is_foreign_transaction,device_mismatch,is_fraudulent
15.69,8.18,airline,1064,0,0,0
73.35,23.35,online_retail,280,0,0,0
15.28,50.36,online_retail,367,0,1,1
499.65,7.97,online_retail,327,0,0,0
279.84,7.97,hotel,327,0,0,0
30.24,4.94,restaurant,99,0,1,0
80.25,50.79,grocery,618,0,0,0
39.65,3.95,entertainment,603,0,1,1
16.79,18.99,entertainment,229,0,0,0
7.17,0.04,online_retail,215,0,0,1
45.63,13.18,gas_station,194,0,0,0
5.07,34.5,pharmacy,272,0,0,0
8.95,4.39,entertainment,520,0,0,0
7.97,19.71,grocery,431,0,0,0
16.72,28.67,hotel,528,0,0,0
46.48,5.21,pharmacy,241,0,0,0
43.77,19.82,hotel,30,0,0,0
13.48,38.33,grocery,424,0,0,0
7.38,18.97,grocery,30,0,0,0
24.22,27.13,hotel,410,0,0,0
20.14,65.71,gas_station,378,0,0,0
4.38,31.67,atm,587,1,0,0
3.64,9.7,gas_station,264,0,0,0
26.15,36.92,airline,292,0,0,0
15.38,2.61,other,318,0,0,0
6.63,7.37,other,32,0,0,0
165.81,3.73,hotel,348,1,0,0
5.48,0.37,restaurant,530,0,0,1
11.49,17.9,gas_station,322,0,0,0
15.97,20.99,grocery,356,0,0,0
8.21,32.28,pharmacy,360,1,0,0
4.03,13.68,entertainment,277,0,0,0
4.37,28.96,airline,576,1,0,0
152.46,5.82,grocery,30,0,0,0
32.2,18.86,restaurant,648,0,0,0
798.97,21.08,entertainment,323,0,0,0
15.85,43.05,airline,763,0,0,0
12.44,0.53,online_retail,30,0,0,0
19.48,7.92,restaurant,714,0,0,0
44.27,40.38,online_retail,433,0,0,0
2.76,32.56,other,461,0,0,0
6.39,16.91,hotel,92,0,0,0
56.44,37.97,hotel,399,0,0,0
32.25,4.74,online_retail,179,0,0,0
50.32,4.22,grocery,167,0,0,0
61.49,3.02,other,731,0,0,0
11.1,5.95,airline,569,0,0,0
59.5,4.52,gas_station,576,0,0,0
21.26,28.63,atm,297,0,0,0
47.39,5.49,grocery,318,0,0,0
27.67,12.59,atm,510,0,0,0
16.04,49.75,entertainment,690,0,0,0
83.94,46.34,restaurant,357,0,1,1
5.27,32.62,online_retail,347,0,0,0
12.28,140.92,other,149,0,0,0
220.36,30.79,other,30,0,0,0
13.4,11.21,gas_station,418,1,0,0
40.63,38.99,other,522,0,1,1
8.02,26.07,pharmacy,436,0,0,0
24.3,24.02,other,553,0,0,0
90.51,4.92,gas_station,535,0,0,0
162.75,41.4,gas_station,668,0,0,0
225.83,33.1,grocery,624,0,0,0
37.12,14.86,hotel,470,0,0,0
84.33,0.76,pharmacy,434,1,0,0
39.28,133.48,pharmacy,306,1,0,0
49.16,42.06,other,362,0,0,0
14.94,0.33,atm,584,0,1,1
75.86,0.95,other,767,0,0,0
117.77,11.83,online_retail,266,0,0,0
4.96,24.06,atm,588,0,0,0
2847.39,27.16,gas_station,263,0,0,0
23.42,87.82,pharmacy,216,0,0,0
13.49,26.45,gas_station,728,1,0,0
47.18,38.97,pharmacy,168,0,0,0
29.56,21.0,airline,324,1,0,0
23.99,59.35,online_retail,138,0,0,0
8.2,38.95,restaurant,564,0,0,0
100.25,67.83,atm,328,1,0,0
16.35,1.77,other,215,0,0,0
15.11,3.82,restaurant,282,0,0,0
257.57,10.48,online_retail,583,0,0,0
7.95,4.04,hotel,535,0,0,0
6.82,0.08,hotel,139,1,0,1
232.87,13.02,entertainment,257,0,0,0
23.9,34.77,airline,157,0,0,0
18.64,15.84,restaurant,204,0,0,0
31.0,56.07,grocery,30,0,0,0
113.01,12.37,hotel,384,0,0,0
25.35,16.2,pharmacy,321,0,0,0
25.04,38.36,restaurant,304,0,0,0
23.0,17.71,pharmacy,31,0,0,0
22.88,6.34,online_retail,30,1,0,0
10.42,57.38,hotel,218,1,0,0
91.73,17.26,hotel,330,0,0,0
5.94,26.61,online_retail,495,0,0,0
112.7,4.2,restaurant,209,0,0,0
25.15,22.65,other,462,0,0,0
12.86,27.15,atm,78,0,0,0
218.06,8.3,atm,36,0,0,0
24.9,27.23,pharmacy,539,0,0,0
15.61,14.59,other,494,0,0,0
112.24,14.04,grocery,430,0,0,0
12.22,29.72,airline,236,0,0,0
41.48,4.68,airline,478,1,1,1
7.78,12.36,gas_station,714,0,0,0
6.64,5.08,restaurant,197,0,0,0
3.25,16.29,other,419,0,0,0
124.23,10.53,hotel,473,0,0,0
16.17,9.5,grocery,536,1,0,0
477.42,10.77,pharmacy,668,1,0,0
3.51,66.86,pharmacy,481,0,0,0
13.2,0.66,grocery,60,0,0,0
59.3,41.25,pharmacy,270,0,0,0
24.47,10.65,pharmacy,107,0,0,0
9.83,5.48,pharmacy,544,0,0,0
4.8,8.97,pharmacy,455,0,0,0
17.55,2.97,restaurant,223,0,1,1
77.15,27.45,other,445,0,0,0
15.05,12.79,other,208,0,0,0
7.83,0.71,online_retail,125,0,0,0
116.16,76.15,gas_station,368,0,0,0
40.15,12.39,other,321,0,0,0
27.18,0.19,airline,515,0,0,0
16.23,44.62,airline,30,0,0,0
70.17,29.95,online_retail,410,0,0,0
13.94,13.94,grocery,634,0,0,0
2099.56,27.96,grocery,579,0,0,0
1.35,35.94,gas_station,304,0,0,0
174.08,0.4,restaurant,320,0,0,0
12.09,62.64,other,333,0,0,0
10.06,6.84,other,574,0,0,0
31.28,29.66,airline,316,0,0,0
30.95,6.1,airline,459,0,0,0
12.13,7.88,other,533,0,0,0
33.17,5.85,atm,733,0,0,0
16.95,10.75,pharmacy,349,0,0,0
10.77,89.55,online_retail,513,0,0,0
9.46,6.6,entertainment,393,0,1,0
8.71,0.85,gas_station,379,1,0,0
20.34,10.41,restaurant,575,0,0,0
4.33,9.62,grocery,30,0,0,0
13.7,3.32,atm,174,0,0,0
12.77,27.08,grocery,543,0,0,0
286.01,14.97,other,488,0,0,0
535.79,45.44,entertainment,167,0,0,0
109.24,0.68,other,327,1,0,0
5.58,8.42,entertainment,402,0,0,0
51.31,16.65,other,608,0,0,0
22.95,114.29,pharmacy,338,0,0,0
23.39,27.32,gas_station,57,0,0,0
9.01,14.02,pharmacy,289,0,0,0
15.78,14.82,gas_station,501,0,0,0
36.02,3.85,hotel,30,0,0,0
25.19,26.34,atm,87,1,0,0
1666.58,49.64,restaurant,30,0,0,0
2.73,16.11,online_retail,134,0,0,0
113.53,28.94,entertainment,505,0,0,0
60.14,8.82,atm,237,0,0,0
7.53,7.81,entertainment,153,1,0,0
8.13,6.39,other,441,0,0,0
108.85,4.01,restaurant,582,0,0,0
78.74,15.06,entertainment,567,0,0,0
27.67,88.71,pharmacy,400,0,0,0
24.2,8.81,pharmacy,651,0,0,0
17.44,1.92,restaurant,633,0,0,0
10.11,2.94,airline,667,0,0,0
97.68,3.49,grocery,248,0,0,0
122.39,9.9,grocery,461,1,0,0
9.31,2.97,airline,312,0,0,0
9.1,12.11,restaurant,320,0,0,0
33.3,42.31,pharmacy,662,0,0,0
35.51,67.88,grocery,168,0,0,0
29.93,23.09,hotel,267,0,0,0
46.73,13.91,online_retail,320,0,0,0
13.12,13.97,gas_station,459,0,0,0
41.83,0.35,hotel,96,0,0,0
23.23,34.62,other,242,0,0,0
10.64,21.87,pharmacy,30,0,0,0
9.7,1.77,hotel,366,0,0,0
9.04,59.89,hotel,785,1,0,0
12.75,4.47,grocery,321,0,0,0
664.65,28.16,atm,560,1,1,1
6.6,16.14,airline,719,0,0,0
21.26,16.18,atm,489,0,0,0
16.72,10.34,restaurant,293,0,0,0
21.14,12.23,restaurant,500,1,0,0
51.33,11.17,online_retail,180,0,0,0
30.7,19.09,hotel,231,0,0,0
3.56,3.28,entertainment,741,0,0,0
158.84,10.63,gas_station,128,0,0,0
39.6,0.61,other,202,0,1,0
68.47,12.76,atm,502,0,0,0
122.67,17.3,entertainment,70,0,0,0
555.51,9.21,gas_station,186,0,0,0
52.37,5.24,grocery,375,0,0,0
49.6,13.48,pharmacy,393,0,0,0
8.89,19.44,pharmacy,151,0,0,0
29.95,35.55,entertainment,225,0,0,0
1535.97,38.47,online_retail,601,0,0,0
32.83,39.57,gas_station,198,0,0,0
3.28,58.26,entertainment,153,0,0,0
13.26,24.9,hotel,56,0,0,0
13.44,4.83,entertainment,334,0,0,0
4.66,13.38,pharmacy,571,0,1,0
32.6,9.39,restaurant,471,0,0,0
31.75,1.55,pharmacy,306,0,0,0
43.94,46.72,gas_station,278,0,0,0
17.26,6.31,restaurant,286,0,1,1
25.78,6.45,airline,251,0,0,0
36.22,21.86,airline,136,0,0,0
329.07,45.39,hotel,726,0,0,0
24.82,17.18,grocery,620,0,0,0
32.23,28.66,grocery,552,0,0,0
49.29,1.77,gas_station,87,0,0,0
11.89,3.6,online_retail,635,0,0,0
5.39,17.64,pharmacy,262,0,0,0
219.8,14.4,entertainment,30,0,0,0
13.71,41.19,other,196,0,1,1
68.01,8.96,entertainment,524,0,0,0
17.13,13.02,entertainment,390,0,0,0
46.03,50.14,hotel,545,0,0,0
7.09,11.27,grocery,247,1,0,0
18.06,38.92,grocery,274,0,0,0
20.66,0.24,other,255,0,0,0
49.88,52.22,grocery,222,0,0,0
1485.5,12.4,restaurant,388,0,0,0
217.53,13.86,online_retail,115,0,0,0
22.95,29.62,other,156,0,0,0
8.24,1.76,restaurant,428,0,1,1
5.52,3.59,pharmacy,366,0,0,0
10.6,8.18,online_retail,186,0,0,0
42.68,14.23,pharmacy,162,0,0,0
10.66,4.94,hotel,497,0,0,0
609.18,4.74,entertainment,371,0,0,0
1.95,35.06,restaurant,30,0,0,0
47.55,1.72,grocery,742,0,0,0
33.57,6.64,grocery,738,0,0,0
5.09,28.58,grocery,339,0,0,0
5.39,12.76,other,288,0,0,0
36.28,2.02,airline,407,0,0,0
41.29,10.08,grocery,247,0,0,0
8.96,51.8,airline,179,0,0,0
292.36,20.76,entertainment,377,0,0,0
295.73,16.04,other,424,0,0,0
23.17,34.47,grocery,534,0,0,0
31.53,37.6,pharmacy,643,0,0,0
17.74,26.88,other,251,0,0,0
210.95,5.94,other,234,0,0,0
18.4,15.47,other,474,0,0,0
4.01,5.54,online_retail,88,0,0,0
135.34,46.44,restaurant,350,0,0,0
9.28,21.83,restaurant,413,0,0,0
15.89,27.38,restaurant,229,0,0,0
35.53,5.71,atm,501,0,0,0
6.78,28.59,pharmacy,185,0,0,0
9.93,19.95,online_retail,474,0,0,0
8.72,9.55,entertainment,481,0,0,0
28.68,5.28,online_retail,532,0,0,0
42.67,3.53,hotel,488,0,0,0
7.75,47.62,pharmacy,484,1,0,0
8.47,86.21,airline,358,0,0,0
1.44,33.29,online_retail,267,0,0,0
22.61,3.05,gas_station,230,0,0,0
9.13,69.08,gas_station,260,1,0,0
3.15,9.1,atm,521,1,0,0
55.48,8.06,restaurant,136,0,0,0
16.91,2.89,gas_station,192,0,0,0
27.1,45.86,other,176,1,0,0
9.6,27.58,other,401,0,0,0
30.31,5.12,online_retail,174,0,0,0
43.11,8.59,online_retail,590,0,0,0
107.33,9.47,grocery,306,0,0,0
74.53,51.96,entertainment,320,0,0,0
13.63,65.75,hotel,398,0,0,0
69.04,34.79,restaurant,158,0,0,0
21.59,7.98,pharmacy,607,0,0,0
63.18,12.01,entertainment,209,0,0,0
16.3,8.19,grocery,274,0,0,0
108.24,13.05,grocery,565,0,0,0
18.78,38.32,airline,395,0,0,0
119.81,14.07,online_retail,424,0,0,0
337.36,31.15,other,409,1,0,0
15.35,46.82,gas_station,30,0,0,0
10.27,0.17,other,287,0,0,0
24.43,3.2,grocery,738,0,0,0
28.77,22.35,pharmacy,30,0,0,0
80.82,103.66,other,430,0,0,0
89.64,1.41,hotel,378,0,0,0
27.79,41.65,grocery,339,0,0,0
23.32,13.9,pharmacy,729,0,0,0
33.91,66.6,airline,611,1,0,0
705.1,7.15,online_retail,206,0,0,0
18.61,2.63,atm,335,0,0,0
77.91,4.49,grocery,400,0,0,0
36.2,6.46,hotel,218,0,0,0
32.18,3.6,gas_station,411,0,0,0
42.04,48.43,airline,184,0,0,0
5.78,81.6,entertainment,256,0,0,0
15.29,33.01,other,413,0,0,0
2.4,98.27,online_retail,294,0,1,1
100.14,40.47,atm,185,0,0,0
4.36,3.22,hotel,166,0,0,0
128.76,48.28,airline,370,0,0,0
8.22,36.09,online_retail,146,0,0,0
9.98,4.65,other,506,0,0,0
27.08,57.72,hotel,581,0,0,0
3.81,15.44,atm,465,0,0,0
5.59,14.11,hotel,446,0,0,0
2813.51,8.49,pharmacy,30,0,0,1
35.94,2.9,grocery,420,0,0,0
22.12,2.04,restaurant,300,0,0,0
9.28,4.28,pharmacy,294,0,0,0
17.58,3.32,online_retail,534,0,0,0
13.41,11.67,hotel,457,0,0,0
15.83,14.97,airline,116,0,0,0
33.49,89.12,online_retail,462,0,0,0
11.69,10.8,gas_station,350,1,0,0
25.64,36.81,other,226,0,0,0
35.64,28.86,other,510,0,0,0
22.39,48.91,airline,364,0,0,0
6.85,66.6,airline,408,0,0,0
65.3,18.98,other,530,0,0,0
17.63,3.2,pharmacy,478,1,0,0
54.21,21.77,airline,352,0,0,0
39.34,28.06,entertainment,428,0,0,0
30.5,23.76,online_retail,106,0,0,0
24.7,39.76,pharmacy,254,0,0,0
5.11,76.07,online_retail,496,0,0,0
286.77,60.96,airline,362,0,0,0
7.71,4.09,entertainment,570,0,0,0
3.8,50.64,grocery,306,0,0,0
32.76,27.11,grocery,210,0,0,0
221.07,2.72,restaurant,899,0,0,0
58.81,18.49,atm,312,0,0,0
7.02,0.16,grocery,259,0,0,0
10.62,36.42,atm,322,0,0,0
166.42,14.32,grocery,397,0,0,0
198.98,7.6,gas_station,173,0,1,1
7.35,41.56,restaurant,437,0,0,0
31.01,176.14,pharmacy,334,0,0,0
750.87,107.15,entertainment,622,1,0,0
22.47,5.47,entertainment,129,0,0,0
14.32,1.4,gas_station,330,0,0,0
19.53,98.85,entertainment,365,0,0,0
22.15,47.0,pharmacy,297,0,0,0
51.29,23.86,other,441,1,0,0
2.68,4.55,airline,233,0,0,0
8.42,10.1,airline,430,0,0,0
37.89,32.93,grocery,212,0,0,0
11.33,5.68,atm,216,0,0,0
20.93,1.3,gas_station,270,0,0,0
1.18,59.66,gas_station,714,0,0,0
3.99,59.12,pharmacy,319,0,0,0
35.84,14.63,airline,414,0,0,0
14.53,62.68,restaurant,133,0,0,0
18.52,10.66,grocery,254,0,0,0
16.8,86.55,gas_station,30,0,0,0
14.16,18.29,hotel,454,0,1,1
